filing_id,cik,year,quarter,period_of_report,filing_date,form_10k_url,sec_21_url,htmlfile,reportsLink
983331,829224,2008,4,20080928,2008-11-24,http://www.sec.gov/Archives/edgar/data/829224/0000950134-08-021134.txt,http://www.sec.gov/Archives/edgar/data/829224/000095013408021134/v50316exv21.htm,v50316e10vk.htm,http://www.sec.gov/Archives/edgar/data/829224/000095013408021134/v50316e10vk.htm
2125148,829224,2003,1,NA,2003-02-12,http://www.sec.gov/Archives/edgar/data/829224/0000891020-03-000427.txt,NULL,v87620e10vkza.htm,http://www.sec.gov/Archives/edgar/data/829224/000089102003000427/v87620e10vkza.htm
2389939,829224,2005,1,NA,2005-02-18,http://www.sec.gov/Archives/edgar/data/829224/0000891020-05-000050.txt,http://www.sec.gov/Archives/edgar/data/829224/000089102005000050/v05774exv21.txt,v05774e10vkza.htm,http://www.sec.gov/Archives/edgar/data/829224/000089102005000050/v05774e10vkza.htm
3145910,829224,2004,2,NA,2004-06-23,http://www.sec.gov/Archives/edgar/data/829224/0000891020-04-000471.txt,NULL,v99876a1e10vkza.htm,http://www.sec.gov/Archives/edgar/data/829224/000089102004000471/v99876a1e10vkza.htm
4802647,829224,2004,4,NA,2004-12-10,http://www.sec.gov/Archives/edgar/data/829224/0000950124-04-006165.txt,http://www.sec.gov/Archives/edgar/data/829224/000095012404006165/v03654exv21.txt,v03654e10vk.htm,http://www.sec.gov/Archives/edgar/data/829224/000095012404006165/v03654e10vk.htm
5575985,829224,2005,4,NA,2005-12-16,http://www.sec.gov/Archives/edgar/data/829224/0000891020-05-000350.txt,http://www.sec.gov/Archives/edgar/data/829224/000089102005000350/v13039exv21.txt,v13039e10vk.htm,http://www.sec.gov/Archives/edgar/data/829224/000089102005000350/v13039e10vk.htm
5942138,829224,2006,4,NA,2006-12-21,http://www.sec.gov/Archives/edgar/data/829224/0000891020-06-000418.txt,NULL,v24294a1e10vkza.htm,http://www.sec.gov/Archives/edgar/data/829224/000089102006000418/v24294a1e10vkza.htm
5942727,829224,2006,4,NA,2006-12-14,http://www.sec.gov/Archives/edgar/data/829224/0000891020-06-000406.txt,http://www.sec.gov/Archives/edgar/data/829224/000089102006000406/v24294exv21.txt,v24294e10vk.htm,http://www.sec.gov/Archives/edgar/data/829224/000089102006000406/v24294e10vk.htm
6303113,829224,2007,4,NA,2007-11-29,http://www.sec.gov/Archives/edgar/data/829224/0000950134-07-024667.txt,http://www.sec.gov/Archives/edgar/data/829224/000095013407024667/v33834exv21.htm,v33834e10vk.htm,http://www.sec.gov/Archives/edgar/data/829224/000095013407024667/v33834e10vk.htm
7678387,829224,2009,4,NA,2009-11-20,http://www.sec.gov/Archives/edgar/data/829224/0000950123-09-064772.txt,http://www.sec.gov/Archives/edgar/data/829224/000095012309064772/v53316exv21.htm,v53316e10vk.htm,http://www.sec.gov/Archives/edgar/data/829224/000095012309064772/v53316e10vk.htm
8658238,829224,2010,4,NA,2010-11-22,http://www.sec.gov/Archives/edgar/data/829224/0001193125-10-266333.txt,http://www.sec.gov/Archives/edgar/data/829224/000119312510266333/dex21.htm,d10k.htm,http://www.sec.gov/Archives/edgar/data/829224/000119312510266333/d10k.htm
